,Unnamed: 0,name,rating,style,price,street address,reviews,city,url,reviews_processed,style_processed,bag_of_words
14,14,Cafe Mogador,4.5,"moroccan, breakfast & brunch, mediterranean",mid-range,133 Wythe Ave,"came here with some pals for brunch this past sunday, which totally left me wondering why has it been so long since i've been here! the vibe is buzzing and..., decent food and nice vibes. 

went to cafe mogador for dinner, the restaurant is really cute and had a nice ambience. the service was quick and efficient..., service: it took over an hour to get our food, and then another 10 minutes for one of the entrees, they did not get our food right and they were not...",new york city,https://www.yelp.com/biz/cafe-mogador-brooklyn?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,come pal brunch past sunday totally leave wonder long since vibe buzz decent food nice vibe go cafe mogador dinner restaurant really cute nice ambience service quick efficient service take hour get food another minute one entree get food right,moroccan breakfast brunch mediterranean,moroccan breakfast brunch mediterranean come pal brunch past sunday totally leave wonder long since vibe buzz decent food nice vibe go cafe mogador dinner restaurant really cute nice ambience service quick efficient service take hour get food another minute one entree get food right
15,15,RH Rooftop Restaurant New York,4.0,"american (traditional), wine bars",mid-range,9 9th Ave,"i had a reservation for 7:00 pm at the th and when we arrived 5 minutes early they informed us that our table wasn't ready. we assumed that it would be a..., i was nervous to try this place since i kept seeing it on tiktok. however, this place absolutely exceeded my expectations and was most definitely..., a+ for ambiance- this is a place to bring a date or your in-laws to impress them with the decorations. we had a weekend reservation but the hostess only...",new york city,https://www.yelp.com/biz/rh-rooftop-restaurant-new-york-new-york-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,reservation pm th arrive minute early inform u table ready assume would nervous try place since keep see tiktok however place absolutely exceed expectation definitely place bring date impress decoration weekend reservation hostess,american traditional wine bar,american traditional wine bar reservation pm th arrive minute early inform u table ready assume would nervous try place since keep see tiktok however place absolutely exceed expectation definitely place bring date impress decoration weekend reservation hostess
16,16,Kimura,4.5,"japanese, hot pot, sushi bars",mid-range,31 St Marks Pl,"i recently visited kimura and i must say, it was an awesome experience. if you're a fan of japanese cuisine and love to indulge in some hotpot goodness,..., this is for my 3rd time here - the more i go, the lower the rating goes down lol 

after trying out all the nabe flavors (minus the all-veggies option), i..., as someone who's only had chinese hot pot, i was eager to explore the japanese hot pot realm. so when the weather announced the slightest hint of wind, i...",new york city,https://www.yelp.com/biz/kimura-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,recently visit kimura must say awesome experience fan japanese cuisine love indulge hotpot goodness time go lower rating go lol try nabe flavor minus option someone chinese hot pot eager explore japanese hot pot realm weather announce slightest hint wind,japanese hot pot sushi bar,japanese hot pot sushi bar recently visit kimura must say awesome experience fan japanese cuisine love indulge hotpot goodness time go lower rating go lol try nabe flavor minus option someone chinese hot pot eager explore japanese hot pot realm weather announce slightest hint wind
17,17,Sobak,5.0,korean,mid-range,51B Canal St,"went with a healthy lunch today after my workout! popped in and was able to try their signature bibimbap- incredible flavor and so filling! highly recommend..., i went there with my friends and they all say the food was really good & i really love staff members they are very friendly to me & my friends & the..., although i'm sad that this new restaurant took over the old perfect taste, i'm glad to see that it's alive again. still a literal hole in the wall, the...",new york city,https://www.yelp.com/biz/sobak-new-york-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,go healthy lunch today workout pop able try signature incredible flavor filling highly recommend go friend say food really good really love staff member friendly friend although sad new restaurant take old perfect taste glad see alive still literal hole wall,korean,korean go healthy lunch today workout pop able try signature incredible flavor filling highly recommend go friend say food really good really love staff member friendly friend although sad new restaurant take old perfect taste glad see alive still literal hole wall
18,18,Salma,4.5,"lebanese, breakfast & brunch, sandwiches",mid-range,351 E 12th St,"we came in as a big party on a friday night and it was packed. definitely make reservations. the place is a cute tiny restaurant, so definitely call for..., salma is a beautiful, homey restaurant! went with a few girlfriends to catch up and we had the most amazing experience. we decided to get the labneh + the..., this was our first time at a lebanese restaurant, and the lady who served us put us completely at our ease and advised us on what we should order. she...",new york city,https://www.yelp.com/biz/salma-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,come big party friday night pack definitely make reservation place cute tiny restaurant definitely call salma beautiful homey restaurant go girlfriend catch amazing experience decide get labneh first time lebanese restaurant lady serve u put u completely ease advise u order,lebanese breakfast brunch sandwich,lebanese breakfast brunch sandwich come big party friday night pack definitely make reservation place cute tiny restaurant definitely call salma beautiful homey restaurant go girlfriend catch amazing experience decide get labneh first time lebanese restaurant lady serve u put u completely ease advise u order
19,19,Upstate Craft Beer & Oyster Bar,4.5,seafood,mid-range,95 1st Ave,"upstate craft beer and oyster bar in manhattan is a must-visit for anyone looking for delicious oysters, craft beer, and a welcoming atmosphere. you're..., dining solo, a friday night, i had a reservation (recommended) and arrived a few minutes early. not a problem. the friendly hostess said i had a choice of..., the hangout spot for oyster-lovers! great happy hour deals, $12 for 6 oysters (3-types to choose from) + beer; $19 for wine. i came with a party of 4 and...",new york city,https://www.yelp.com/biz/upstate-craft-beer-and-oyster-bar-new-york-4?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,upstate craft beer oyster bar manhattan anyone look delicious oyster craft beer welcoming atmosphere din solo friday night reservation recommend arrive minute early problem friendly hostess say choice hangout spot great happy hour deal oyster choose beer wine come party,seafood,seafood upstate craft beer oyster bar manhattan anyone look delicious oyster craft beer welcoming atmosphere din solo friday night reservation recommend arrive minute early problem friendly hostess say choice hangout spot great happy hour deal oyster choose beer wine come party
20,20,Piccola Cucina Osteria,4.5,italian,mid-range,196 Spring St,"a quaint sicilian italian restaurant, with wonderful staff that would randomly dance together. service was amazing and took care of you, never had to ask..., foods are good. the vibe is terrible - both indoor and outdoor. really wish they could enlarge the space a little bit - or diminish the amount the tables...., i want to start off by stating that this restaurant is incredibly tiny and if you're looking to eat with a group larger than four (or maybe even larger than...",new york city,https://www.yelp.com/biz/piccola-cucina-osteria-new-york-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,quaint sicilian italian restaurant wonderful staff would randomly dance together service amazing take care never ask food good vibe terrible indoor outdoor really wish could enlarge space little bit diminish amount table want start state restaurant incredibly tiny look eat group larger four maybe even larger,italian,italian quaint sicilian italian restaurant wonderful staff would randomly dance together service amazing take care never ask food good vibe terrible indoor outdoor really wish could enlarge space little bit diminish amount table want start state restaurant incredibly tiny look eat group larger four maybe even larger
22,22,Kuun,4.5,korean,mid-range,290 Livingston St,"i've had korean food all over the world, including in seoul, south korea. 

kuun may have been one of the best meals of my life and certainly top 3 korean..., great vibes/interior, good food, small portions for the price. good for a date night, but i wouldn't go out of my way to come again.

all the food was..., ambiance 5/5: the decor and vibe is cute. great date night place or catch up with friends and the inside is aesthetically pleasing

service: 3.75/5 they...",new york city,https://www.yelp.com/biz/kuun-brooklyn?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,korean food world include seoul south korea kuun may one best meal life certainly top korean great good food small portion price good date night would go way come food ambiance decor vibe cute great date night place catch friend inside aesthetically pleasing service,korean,korean korean food world include seoul south korea kuun may one best meal life certainly top korean great good food small portion price good date night would go way come food ambiance decor vibe cute great date night place catch friend inside aesthetically pleasing service
23,23,Wah Fung No 1,4.5,"fast food, cantonese",cheap-eats,79 Chrystie St,"the notable wah fung for value eats...definitely was on my to-eat list!

shared a two item: roast pork and duck with my friend. we were going to eat another..., maybe i'm spoiled because of all the time i got to spend in chinatown out in san francisco.

i'm a huge fan of finding tasty food at a good price. and while..., i went here today after my college class. 
you have to wait in line for about 10 to 15 minutes because there's so many people waiting to go but the line...",new york city,https://www.yelp.com/biz/wah-fung-no-1-new-york-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,notable wah fung value eats definitely list share two item roast pork duck friend go eat another maybe spoiled time get spend chinatown san francisco huge fan find tasty food good price go today college class wait line minute many people wait go line,fast food cantonese,fast food cantonese notable wah fung value eats definitely list share two item roast pork duck friend go eat another maybe spoiled time get spend chinatown san francisco huge fan find tasty food good price go today college class wait line minute many people wait go line
25,25,Jane Restaurant,4.0,"breakfast & brunch, american (new), bars",mid-range,100 W Houston St,"our server dan was incredible!! the best service i have ever received, made the evening so wonderful and enjoyable. would go back here solely for dan., we made reservations for brunch, arrived early, and still got seated right away. our server was kind, friendly, and prompt. i was so surprised that even..., came here with friends for a weekend brunch, and had a great time! the atmosphere is very lively and bright, so very good for friends gathering or...",new york city,https://www.yelp.com/biz/jane-restaurant-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,server dan incredible best service ever receive make evening wonderful enjoyable would go back solely make reservation brunch arrive early still get seat right away server kind friendly prompt surprised even come friend weekend brunch great time atmosphere lively bright good friend gather,breakfast brunch american new bar,breakfast brunch american new bar server dan incredible best service ever receive make evening wonderful enjoyable would go back solely make reservation brunch arrive early still get seat right away server kind friendly prompt surprised even come friend weekend brunch great time atmosphere lively bright good friend gather
26,26,Hole In The Wall - Williamsburg,4.0,"australian, breakfast & brunch, coffee & tea",mid-range,292 Bedford Ave,"i've come here numerous times for dinner, happy hour, late night, and now for brunch. this place is an absolute gem. decided to try the cheesy burger, and..., 1st time, we loved this australian restaurant! the reasons we took off 2stars, the music was too loud we needed to talk to each other very loud all the..., this place is always super crowded whenever i pass by during weekend brunch hours, but i got lucky with plenty of tables at noon on a sunday! the brazilian...",new york city,https://www.yelp.com/biz/hole-in-the-wall-brooklyn-3?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,come numerous time dinner happy hour late night brunch place absolute gem decide try cheesy burger time love australian restaurant reason take music loud need talk loud place always super crowd whenever pas weekend brunch hour get lucky plenty table noon sunday brazilian,australian breakfast brunch coffee tea,australian breakfast brunch coffee tea come numerous time dinner happy hour late night brunch place absolute gem decide try cheesy burger time love australian restaurant reason take music loud need talk loud place always super crowd whenever pas weekend brunch hour get lucky plenty table noon sunday brazilian
28,28,AlMar,4.0,"italian, breakfast & brunch, cocktail bars",mid-range,111 Front St,"welcome to almar, where the ambiance is dimmed and the wall mirrors are huge (and not just for taking selfies, i promise). let's dive into the food and see..., came here at 6:15pm on a friday night. there was already a good amount of people inside so i'm glad we made reservations ahead of time. we got seated and..., my girlfriend and i came here while we were exploring around dumbo to check out the food scene in the area. almar sticked out to us as a classy and cute...",new york city,https://www.yelp.com/biz/almar-brooklyn-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,welcome almar ambiance dim wall mirror huge take selfies promise let dive food see come friday night already good amount people inside glad make reservation ahead time get seat girlfriend come explore around dumbo check food scene area almar stick u classy cute,italian breakfast brunch cocktail bar,italian breakfast brunch cocktail bar welcome almar ambiance dim wall mirror huge take selfies promise let dive food see come friday night already good amount people inside glad make reservation ahead time get seat girlfriend come explore around dumbo check food scene area almar stick u classy cute
30,30,Shu Jiao Fu Zhou,4.5,chinese,cheap-eats,295 Grand St,"i haven't eaten there in a long while but this is my go to spot for frozen dumplings. this is my home cooked version of chili oil dumplings using shu jiao..., i saw this place on tiktok about being really cheap and having dumplings for a bargain price. when i got there i realized everything was still very cheap..., fujianese dumplings. cash only. fast but not too fast. line moves quickly. not easy to find a seat but you want to eat these quickly. if it's nice out just...",new york city,https://www.yelp.com/biz/shu-jiao-fu-zhou-new-york-2?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,eat long go spot frozen dumpling home cook version chili oil dumpling use shu jiao saw place tiktok really cheap dumpling bargain price get realize everything still cheap fujianese dumpling cash fast fast line move quickly easy find seat want eat quickly nice,chinese,chinese eat long go spot frozen dumpling home cook version chili oil dumpling use shu jiao saw place tiktok really cheap dumpling bargain price get realize everything still cheap fujianese dumpling cash fast fast line move quickly easy find seat want eat quickly nice
31,31,Boutros,4.5,"american (new), middle eastern, cocktail bars",mid-range,185 Atlantic Ave,"this place is awesome! for context, i hardly ever eat or really enjoy hummus, but for whatever reason, i had a good feeling about the short rib hummus dish...., it started off strong with the short rib shawarma hummus and fresh pita. but we weren't fans of the entrees we ordered. 

for $30 the roasted half chicken..., service: the pair of us were seated quickly on a saturday brunch time. once seated, the service was relatively slow and we spent a while before putting in...",new york city,https://www.yelp.com/biz/boutros-brooklyn?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,place awesome context hardly ever eat really enjoy hummus whatever reason good feeling short rib hummus dish start strong short rib shawarma hummus fresh pita fan entree order roast half chicken service pair u seat quickly saturday brunch time seat service relatively slow spend put,american new middle eastern cocktail bar,american new middle eastern cocktail bar place awesome context hardly ever eat really enjoy hummus whatever reason good feeling short rib hummus dish start strong short rib shawarma hummus fresh pita fan entree order roast half chicken service pair u seat quickly saturday brunch time seat service relatively slow spend put
32,32,Very Fresh Noodles,4.5,"taiwanese, chinese, noodles",mid-range,409 W 15th St,"so good!!

after a long day of walking around, we grabbed dinner at the famous chelsea market. honestly the smell of the noodle shop got me to come and they..., my friends recommend me this place because they know i like noodles and very fresh noodles sell the type of noodles i will like. on the last rainy saturday..., cumin lamb noodle soup is my go to here! the broth always has the right amount of spice and flavor, good portions of meat and lots of greens on top. the...",new york city,https://www.yelp.com/biz/very-fresh-noodles-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,good long day walk around grab dinner famous chelsea market honestly smell noodle shop get come friend recommend place know like noodle fresh noodle sell type noodle like last rainy saturday cumin lamb noodle soup go broth always right amount spice flavor good portion meat lot green top,taiwanese chinese noodle,taiwanese chinese noodle good long day walk around grab dinner famous chelsea market honestly smell noodle shop get come friend recommend place know like noodle fresh noodle sell type noodle like last rainy saturday cumin lamb noodle soup go broth always right amount spice flavor good portion meat lot green top
33,33,Momofuku Ssam Bar,4.0,"asian fusion, american (new), steakhouses",mid-range,89 South St,"service: they were very attentive towards our table and cooked the meat to how we liked it. also checked in with us multiple times to make sure we didn't..., definitely recommend! great date night or special dinner spot!
we came here for a valentine's day dinner (kudos to my husband for making the surprise..., i booked the restaurant to celebrate birthday with my friends. one of the staffs dropped foods on the table twice while serving/bbq and said no...",new york city,https://www.yelp.com/biz/momofuku-ssam-bar-new-york-6?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,service attentive towards table cook meat like also check u multiple time make sure definitely recommend great date night special dinner spot come valentine day dinner kudos husband make surprise book restaurant celebrate birthday friend one staff drop food table twice say,asian fusion american new steakhouse,asian fusion american new steakhouse service attentive towards table cook meat like also check u multiple time make sure definitely recommend great date night special dinner spot come valentine day dinner kudos husband make surprise book restaurant celebrate birthday friend one staff drop food table twice say
34,34,YUBU,4.5,korean,mid-range,86 E 7th St,"oh. my. god??? this was genuinely one of the best snacks i've ever had. the spicy chicken yubu and the salmon with spicy mayo yubu were both 10/10. i never..., this is a cute hole in the wall. there's outdoor seating only. if you want indoor seating check out the grand street location.

the server were friendly...., i recently stopped by yubu for a korean-inspired afternoon snack while strolling through the east village, and it was the perfect pit-stop! although the...",new york city,https://www.yelp.com/biz/yubu-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,oh god genuinely one best snack ever spicy chicken yubu salmon spicy mayo yubu never cute hole wall outdoor seat want indoor seat check grand street location server friendly recently stop yubu afternoon snack stroll east village perfect although,korean,korean oh god genuinely one best snack ever spicy chicken yubu salmon spicy mayo yubu never cute hole wall outdoor seat want indoor seat check grand street location server friendly recently stop yubu afternoon snack stroll east village perfect although
35,35,Tasty Hand-Pulled Noodles,4.0,"chinese, noodles",mid-range,1 Doyers St,"came here on a friday night when it was peak busy. there were plenty of tables outdoors but the wait was probably still half an hour. it all ended up being..., true to its name, the noodles are long and tasty. i came here for dinner friday and was thankfully seated right away since it was just two of us. i ordered..., i mean this place is pretty much one of the essential no frills spot to get chinese comfort food. you'll find it on doyers street within chinatown, in range...",new york city,https://www.yelp.com/biz/tasty-hand-pulled-noodles-new-york?adjust_creative=poaE66MvnpKuwjo08pSL0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=poaE66MvnpKuwjo08pSL0Q,come friday night peak busy plenty table outdoors wait probably still half hour end true name noodle long tasty come dinner friday thankfully seat right away since two u order mean place pretty much one essential frill spot get chinese comfort food find doyers street within chinatown range,chinese noodle,chinese noodle come friday night peak busy plenty table outdoors wait probably still half hour end true name noodle long tasty come dinner friday thankfully seat right away since two u order mean place pretty much one essential frill spot get chinese comfort food find doyers street within chinatown range
